,Year,Month,Date,Hour,Minute,Second,Region,Lat,Lon,Depth(m),Mag,Mag_type
58,2021,6,4,22,12,25.1,"YUNNAN, CHINA",25.6398,100.1814,10000,4.1,mb
59,2021,6,2,19,45,34.4,"ANDAMAN ISLANDS, INDIA REGION",10.2844,91.567,10000,4.6,mb
60,2021,6,1,1,9,21.8,"ANDAMAN ISLANDS, INDIA REGION",12.8061,93.3096,49570,4.5,mb
61,2021,5,31,19,49,34.5,MYANMAR-INDIA BORDER REGION,23.2381,94.6949,111490,4.4,mb
62,2021,5,31,4,20,45.7,NORTHEASTERN INDIA,26.7602,92.3082,10000,4.2,mb
63,2021,5,30,8,53,8,NORTHEASTERN INDIA,26.6343,92.326,52850,4.4,mb
64,2021,5,28,16,51,21.7,MYANMAR,22.5949,94.7171,113940,4.5,mb
65,2021,5,28,12,43,19.3,"YUNNAN, CHINA",25.5796,100.1467,10000,4.2,mb
66,2021,5,27,13,0,46.7,"ANDAMAN ISLANDS, INDIA REGION",10.7126,91.5096,10000,4.4,mb
67,2021,5,27,11,52,55,"YUNNAN, CHINA",26.2866,99.5437,10000,4.2,mb
68,2021,5,25,19,23,7.5,MYANMAR-INDIA BORDER REGION,23.593,94.5857,99630,4.1,mb
69,2021,5,25,14,14,37.4,"ANDAMAN ISLANDS, INDIA REGION",13.2087,92.8437,10000,4.5,mb
70,2021,5,24,3,49,10,"ANDAMAN ISLANDS, INDIA REGION",11.7799,94.876,10000,4.5,mb
71,2021,5,23,15,41,3.5,MYANMAR,22.9496,94.5814,95830,4.3,mb
72,2021,5,23,1,26,40.9,MYANMAR,24.7351,95.0955,103920,4.4,mb
73,2021,5,22,12,14,37.9,"YUNNAN, CHINA",25.709,100.0706,10000,4.7,mb
74,2021,5,22,1,48,3.9,"YUNNAN, CHINA",25.7146,99.9459,10000,4.4,mb
75,2021,5,22,0,38,31.9,MYANMAR,20.0893,95.7789,10000,4.4,mb
76,2021,5,21,20,10,59.2,"YUNNAN, CHINA",25.7154,99.9773,10000,4.1,mb
77,2021,5,21,18,28,48.6,"YUNNAN, CHINA",25.6529,99.9988,31900,4.8,mb
78,2021,5,21,17,50,18.8,"YUNNAN, CHINA",25.689,100.2762,10000,4.2,mb
79,2021,5,21,17,36,7.6,"YUNNAN, CHINA",25.6631,100.056,10000,4.3,mb
80,2021,5,21,15,23,37.3,"YUNNAN, CHINA",25.6603,100.2397,10000,4.5,mb
81,2021,5,21,14,52,7.4,"YUNNAN, CHINA",25.4865,100.6098,10000,4.1,mb
82,2021,5,21,14,31,12,"YUNNAN, CHINA",25.6862,100.001,10000,5.1,Mww
83,2021,5,21,13,56,40.9,"YUNNAN, CHINA",25.838,100.1301,10000,5,mb
84,2021,5,21,13,55,32,"YUNNAN, CHINA",25.8236,100.0176,10000,5,mb
85,2021,5,21,13,48,37.3,"YUNNAN, CHINA",25.7444,100.0155,9000,6.1,Mww
86,2021,5,21,13,21,59.9,"YUNNAN, CHINA",25.5476,99.9993,10000,5.1,mb
87,2021,5,21,13,21,26.7,"YUNNAN, CHINA",25.6897,100.0154,10000,5.3,mww
88,2021,5,21,12,56,5,"YUNNAN, CHINA",25.6557,100.0006,10000,4.6,mb
89,2021,5,19,17,58,59.9,"YUNNAN, CHINA",25.751,100.2228,10000,4.1,mb
90,2021,5,19,13,13,10.7,"YUNNAN, CHINA",25.8208,100.0915,10000,4.3,mb
91,2021,5,19,12,5,59.1,"YUNNAN, CHINA",25.5864,99.9677,10000,4.6,mb
92,2021,5,18,13,39,44,"YUNNAN, CHINA",26.1305,99.4459,10000,4.3,mb
93,2021,5,18,12,3,1.3,NORTHEASTERN INDIA,26.6713,92.4258,49810,4.4,mb
94,2021,5,17,22,54,34.4,"ANDAMAN ISLANDS, INDIA REGION",14.5393,93.7329,25900,4.1,mb
95,2021,5,15,3,3,56.7,NORTHEASTERN INDIA,26.753,92.4736,43800,4.4,mb
96,2021,5,14,23,39,52,MYANMAR-INDIA BORDER REGION,26.418,95.5047,85910,4.2,mb
97,2021,5,14,16,42,5,MYANMAR,24.9625,95.1088,111380,4.5,mb
98,2021,5,13,3,42,38.8,"YUNNAN, CHINA",24.4093,99.192,10000,4.6,mb
99,2021,5,9,18,41,23,NORTHEASTERN INDIA,26.774,92.4738,10000,3.8,mb
100,2021,5,6,5,0,15.7,NORTHEASTERN INDIA,26.5945,92.4813,48290,4.2,mb
101,2021,5,5,13,52,2.9,NORTHEASTERN INDIA,26.0788,91.0721,10000,4.2,mb
102,2021,4,30,20,47,33.9,MYANMAR,19.3381,97.1038,15000,4.4,mb
103,2021,4,30,13,40,6.2,MYANMAR-INDIA BORDER REGION,24.2389,94.513,95310,4.3,mb
104,2021,4,28,19,50,53.8,NORTHEASTERN INDIA,26.7477,92.4849,38210,4.8,mb
105,2021,4,28,10,33,28,NORTHEASTERN INDIA,26.7662,92.5133,35000,4.2,mb
106,2021,4,28,2,43,20.8,NORTHEASTERN INDIA,26.8262,92.5371,35000,4.4,mb
107,2021,4,28,2,33,1.5,NORTHEASTERN INDIA,26.7489,92.5136,35000,5,mb
108,2021,4,28,2,21,26.2,NORTHEASTERN INDIA,26.7746,92.4364,34000,6,mww
109,2021,4,21,19,45,14.8,"ANDAMAN ISLANDS, INDIA REGION",10.4847,93.8566,35000,4.3,mb
110,2021,4,21,19,34,43,"ANDAMAN ISLANDS, INDIA REGION",10.5902,94.2339,26060,4.6,mb
111,2021,4,18,13,24,32.8,MYANMAR,22.5129,94.1955,24670,5.1,Mww
112,2021,4,14,16,45,9,"ANDAMAN ISLANDS, INDIA REGION",10.8839,91.5252,10000,4.1,mb
113,2021,4,6,2,4,3.7,MYANMAR,21.9881,94.3005,51390,4,mb
114,2021,3,26,19,2,7.2,EASTERN XIZANG-INDIA BORDER REG.,27.6146,92.6806,24840,5,Mww
115,2021,3,25,0,28,53.5,MYANMAR,17.7099,94.1714,10000,4.3,mb
116,2021,3,22,15,40,44.6,EASTERN XIZANG-INDIA BORDER REG.,28.2935,93.7808,10000,4.6,mb
117,2021,3,21,12,22,37.7,NORTHEASTERN INDIA,26.6195,92.5148,10000,4.2,mb
118,2021,3,11,2,34,14.2,MYANMAR,22.6746,94.565,103620,4.5,mb
119,2021,3,9,11,15,1.1,MYANMAR-INDIA BORDER REGION,25.3809,95.0793,89490,4.6,mb
120,2021,2,25,7,50,20.3,MYANMAR,22.8779,96.0167,10000,4.5,mb
121,2021,2,25,4,19,58.7,MYANMAR,22.3908,95.4803,22580,4.1,mb
122,2021,2,25,3,46,4.1,MYANMAR,22.7,95.8415,20120,4.2,mb
123,2021,2,25,2,34,26.5,MYANMAR,22.8585,95.9211,10000,4.9,mb
124,2021,2,24,18,16,46.5,BAY OF BENGAL,20.054,91.0101,10000,4.5,mb
125,2021,2,20,0,1,25.2,MYANMAR-INDIA BORDER REGION,23.3318,94.5689,95450,4.1,mb
126,2021,2,17,12,24,46.8,NORTHEASTERN INDIA,26.7322,92.5712,18670,4.6,mb
127,2021,2,16,20,36,52.2,"ANDAMAN ISLANDS, INDIA REGION",11.987,94.5015,10000,4.7,mb
128,2021,2,11,8,4,50.6,MYANMAR,22.9672,94.4789,102860,4.4,mb
129,2021,2,8,15,40,37.9,"ANDAMAN ISLANDS, INDIA REGION",13.9209,96.4846,10000,4.4,mb
130,2021,2,5,11,47,47.7,MYANMAR,20.9672,97.8113,10000,4.4,Mwr
131,2021,1,31,20,4,24.8,MYANMAR-INDIA BORDER REGION,24.9329,94.4399,51160,4,mb
132,2021,1,27,18,56,21.4,MYANMAR-INDIA BORDER REGION,26.293,95.7822,80920,4.2,mb
133,2021,1,27,2,52,29.5,"ANDAMAN ISLANDS, INDIA REGION",13.1497,92.5328,28070,4.4,mb
134,2021,1,22,21,14,43.4,MYANMAR,24.326,95.0289,117910,4.3,mb
135,2021,1,17,13,42,51.9,MYANMAR-CHINA BORDER REGION,24.5613,97.108,10000,4.3,mb
136,2021,1,17,6,59,48.2,MYANMAR,26.0588,96.3433,10000,4.3,mb
137,2021,1,17,4,44,46.4,"YUNNAN, CHINA",24.2534,99.3894,10000,4.4,mb
138,2021,1,16,20,48,12.9,MYANMAR-INDIA BORDER REGION,23.6359,93.5159,61320,4.3,mb
139,2021,1,13,19,15,33.9,MYANMAR-INDIA BORDER REGION,24.8799,93.3739,10000,4.2,mb
140,2021,1,13,1,7,21.9,MYANMAR,22.7983,94.6878,108510,4.1,mb
141,2020,12,26,21,48,15.1,MYANMAR-INDIA BORDER REGION,27.3034,96.9396,10000,4.5,mb
142,2020,12,26,14,19,9.4,BAY OF BENGAL,16.0246,92.9758,10000,4.5,mb
143,2020,12,24,15,13,55.5,MYANMAR,25.4342,96.6814,46510,4.4,mb
144,2020,12,24,8,9,48.4,MYANMAR,25.6542,96.7113,10000,4.9,mb
145,2020,12,23,11,6,53.8,MYANMAR-INDIA BORDER REGION,27.4003,97.0395,49940,4.2,mb
